amount,time,location_risk,card_present,transaction_type,is_fraud
83910,3,0,1,1,0
29356,4,0,0,4,0
55402,1,0,0,1,0
30595,16,0,0,5,0
85281,22,1,0,3,1
77336,8,0,0,5,0
55492,10,1,0,1,1
44218,3,0,1,0,0
47152,11,1,0,5,0
60317,17,0,1,0,0
72457,9,1,0,5,1
9216,1,0,1,0,0
30612,3,1,1,3,0
83420,11,0,1,2,0
27560,21,1,0,4,0
83327,5,0,0,3,0
49835,8,0,1,0,0
30121,1,1,1,2,0
8775,6,1,0,5,0
65535,12,1,0,2,1
18401,7,1,1,4,0
52450,11,0,0,4,0
64786,2,0,0,1,0
82340,5,1,0,3,1
50119,19,1,1,4,0
1604,21,0,1,5,0
44687,3,1,1,1,0
59570,0,1,0,4,1
14047,20,1,0,1,0
49109,5,0,1,3,0
2652,3,1,1,1,0
7692,7,0,0,5,0
63799,2,0,0,5,0
62396,17,0,1,4,0
79607,13,0,0,5,0
40957,12,1,1,4,0
59277,3,0,0,0,0
44413,0,0,0,0,0
9405,22,0,0,0,0
4217,10,0,0,2,0
87784,15,0,0,5,0
74947,18,1,0,3,1
53454,6,0,0,5,0
56598,11,1,1,3,0
95661,1,0,0,3,0
95548,10,0,0,1,0
25031,17,1,0,3,0
24150,8,1,0,0,0
58182,17,0,0,5,0
70955,0,0,0,1,0
53369,15,1,0,3,1
7785,5,1,0,3,0
34860,14,1,1,5,0
95848,17,1,0,1,1
38990,6,0,0,5,0
41204,1,0,1,4,0
69715,5,0,0,1,0
9081,19,0,0,3,0
15813,18,0,0,4,0
10845,13,1,1,1,0
87882,22,1,0,2,1
51976,4,1,1,2,0
98648,2,0,1,4,0
73892,3,0,0,4,0
34860,4,1,0,1,0
48534,9,0,1,4,0
92314,9,0,1,5,0
13677,4,1,0,0,0
97410,17,0,1,2,0
79376,6,1,0,5,1
83230,8,1,1,0,0
12197,20,1,1,0,0
564,10,0,1,1,0
97254,14,1,0,0,1
9962,22,0,0,2,0
76450,17,0,1,1,0
5582,9,1,0,2,0
27635,21,0,0,2,0
73485,13,0,0,1,0
23306,13,0,0,5,0
43640,13,0,1,1,0
92017,3,1,0,3,1
29254,6,1,1,2,0
29931,7,0,0,3,0
43125,8,0,1,2,0
84180,16,1,1,0,0
15218,8,0,1,0,0
14308,19,1,1,5,0
41214,13,0,1,4,0
25014,8,0,1,0,0
68246,17,0,1,3,0
9271,21,1,1,5,0
16434,23,1,1,5,0
53628,10,1,1,4,0
16783,6,1,1,5,0
98159,5,1,1,4,1
153,9,1,0,3,0
76119,19,1,1,3,1
58054,21,0,1,5,0
22341,21,0,1,4,0
87112,20,1,0,1,1
88284,9,0,0,1,0
3301,1,0,1,4,0
9645,14,1,0,5,0
91372,12,1,1,1,0
19442,20,0,0,3,0
28783,5,1,0,4,0
32762,3,1,0,3,0
87600,16,1,1,4,1
94376,16,1,1,1,0
97572,15,1,1,1,0
83679,8,1,0,2,1
57754,2,1,0,2,1
44120,10,0,0,1,0
30411,12,0,0,0,0
54477,13,1,1,3,0
8261,6,1,1,4,0
91263,0,1,1,0,0
46205,9,1,1,4,0
98078,23,0,1,1,0
35874,13,1,0,3,0
44157,21,1,0,3,0
16828,19,0,1,4,0
74075,21,0,0,5,0
56279,4,1,0,0,1
34199,12,1,0,3,0
42940,10,1,1,3,0
33165,2,1,0,5,0
70802,1,1,0,5,1
9093,20,0,0,1,0
26230,0,0,0,1,0
62170,21,0,0,3,0
91780,8,1,0,4,1
79693,23,0,0,2,0
14268,18,0,1,4,0
88881,12,1,0,0,1
77707,22,0,0,5,0
39629,21,0,0,2,0
69927,13,1,0,4,1
84974,10,0,1,3,0
13933,13,1,1,5,0
20152,13,0,1,4,0
70639,15,1,1,5,1
77756,8,1,0,0,1
36659,14,0,1,4,0
80097,21,1,1,0,0
64889,10,0,1,1,0
46607,8,1,1,4,0
92005,8,0,0,0,0
31735,23,1,1,4,0
99474,7,1,1,3,1
2360,2,1,0,3,0
90773,7,1,1,3,1
72644,16,1,1,5,1
72240,10,1,1,2,1
40289,8,0,0,5,0
25342,10,0,0,1,0
28461,23,1,1,5,0
77378,16,1,0,1,1
38929,7,1,0,2,0
1954,22,0,1,0,0
7246,17,1,0,5,0
98769,15,0,0,4,0
37368,15,1,1,2,0
24264,1,1,1,0,0
8664,12,1,0,4,0
82602,21,0,0,1,0
73872,9,0,0,0,0
73247,13,0,1,3,0
58128,9,1,1,4,0
81499,1,0,0,5,0
27759,8,0,0,1,0
22882,17,0,0,0,0
53645,14,1,1,0,0
30440,9,1,1,0,0
90196,7,1,0,3,1
15143,17,0,0,2,0
18743,2,0,0,2,0
78093,23,1,1,0,0
61533,22,1,1,2,0
65697,17,1,1,0,0
78485,1,1,1,4,1
32916,0,0,0,5,0
75492,18,0,1,4,0
5373,5,1,1,2,0
23888,18,1,1,0,0
61705,11,1,1,2,0
87935,3,0,1,3,0
91021,15,1,1,4,1
4909,14,0,1,2,0
42472,3,1,0,5,0
71218,14,1,0,1,1
68052,11,1,1,0,0
26780,8,0,1,3,0
91621,15,0,0,5,0
79906,7,0,1,4,0
1892,17,1,0,1,0
14971,14,0,0,3,0
94026,9,1,1,3,1
61994,7,1,0,3,1
25083,19,0,0,2,0
54487,10,1,0,2,1
95264,9,1,0,3,1
70692,15,1,1,4,1
71328,12,1,1,1,0
91522,7,1,0,3,1
5820,10,1,1,3,0
87091,20,0,1,0,0
16647,16,1,0,3,0
13169,16,1,0,5,0
18994,13,0,0,3,0
34837,10,1,0,2,0
88489,17,1,1,5,1
94303,15,0,0,1,0
82827,21,1,0,5,1
11946,13,0,0,3,0
21905,22,1,0,0,0
42616,1,1,1,2,0
56550,4,0,1,4,0
89464,5,0,0,0,0
79987,12,0,1,4,0
18858,7,1,1,3,0
33566,21,0,1,2,0
88915,17,0,0,3,0
45393,18,1,1,5,0
32880,14,1,0,3,0
63435,3,0,1,4,0
47149,18,1,1,0,0
86375,12,1,0,4,1
89989,23,0,1,2,0
30262,19,1,0,5,0
25020,19,1,0,5,0
12835,20,0,1,3,0
4473,18,1,0,0,0
38780,10,1,0,1,0
17422,17,1,1,1,0
33781,15,1,1,0,0
61485,2,0,0,5,0
95024,21,1,1,0,0
51817,0,1,0,3,1
48411,21,1,1,5,0
48789,3,0,1,0,0
81305,17,1,0,5,1
8385,20,1,1,5,0
53616,3,0,0,0,0
39993,15,0,0,1,0
70557,4,1,1,2,1
87981,23,1,0,3,1
85941,3,1,1,2,1
4388,22,1,0,3,0
